Normalized_intensity_increment,SE
4.69E+00,7.31E-02
4.77E+00,7.41E-02
4.82E+00,7.57E-02
4.87E+00,7.51E-02
4.97E+00,7.26E-02
5.04E+00,8.22E-02
5.07E+00,7.62E-02
5.14E+00,7.26E-02
5.21E+00,7.93E-02
5.43E+00,8.48E-02
5.23E+00,8.44E-02
5.28E+00,7.67E-02
5.38E+00,8.40E-02
5.40E+00,9.24E-02
5.56E+00,8.84E-02
5.43E+00,8.38E-02
5.56E+00,8.41E-02
5.67E+00,8.56E-02
5.64E+00,8.57E-02
5.94E+00,8.98E-02
5.73E+00,8.72E-02
5.79E+00,9.19E-02
5.68E+00,8.33E-02
5.95E+00,8.55E-02
6.02E+00,9.38E-02
5.87E+00,8.93E-02
6.05E+00,1.00E-01
6.13E+00,9.96E-02
6.28E+00,1.03E-01
6.28E+00,9.60E-02
6.32E+00,8.45E-02
6.53E+00,9.40E-02
6.48E+00,1.00E-01
6.44E+00,9.43E-02
6.54E+00,8.53E-02
6.68E+00,1.08E-01
3.69E+00,1.34E-01
