condition,fold,length,id,N_20nt,N_30nt,Time
wt_15mM_salt,0,30,94,0,0,3600.0
wt_15mM_salt,0,30,94,1,0,5400.0
wt_15mM_salt,0,30,94,1,0,7200.0
wt_15mM_salt,0,30,95,1,0,1800.0
wt_15mM_salt,0,30,95,1,0,3600.0
wt_15mM_salt,0,30,95,1,0,5400.0
wt_15mM_salt,0,30,95,1,0,7200.0
wt_15mM_salt,0,30,96,0,0,1800.0
wt_15mM_salt,0,30,96,0,0,3600.0
wt_15mM_salt,0,30,96,0,0,5400.0
wt_15mM_salt,0,30,96,0,0,7200.0
wt_15mM_salt,0,30,97,0,0,1800.0
wt_15mM_salt,0,30,97,0,0,3600.0
wt_15mM_salt,0,30,97,1,0,5400.0
wt_15mM_salt,0,30,97,1,0,7200.0
wt_15mM_salt,0,30,98,0,0,1800.0
wt_15mM_salt,0,30,98,0,0,3600.0
wt_15mM_salt,0,30,98,1,0,5400.0
wt_15mM_salt,0,30,98,1,0,7200.0
wt_15mM_salt,0,30,99,1,0,1800.0
wt_15mM_salt,0,30,99,1,0,3600.0
wt_15mM_salt,0,30,99,1,0,5400.0
wt_15mM_salt,0,30,99,1,0,7200.0
wt_15mM_salt,0,30,100,0,0,1800.0
wt_15mM_salt,0,30,100,0,0,3600.0
wt_15mM_salt,0,30,100,1,0,5400.0
wt_15mM_salt,0,30,100,1,0,7200.0
wt_15mM_salt,1,30,1,0,0,1800.0
wt_15mM_salt,1,30,1,0,0,3600.0
wt_15mM_salt,1,30,1,0,0,5400.0
wt_15mM_salt,1,30,1,0,0,7200.0
wt_15mM_salt,1,30,2,1,0,1800.0
wt_15mM_salt,1,30,2,1,0,3600.0
wt_15mM_salt,1,30,2,1,0,5400.0
wt_15mM_salt,1,30,2,1,0,7200.0
wt_15mM_salt,1,30,3,0,0,1800.0
wt_15mM_salt,1,30,3,1,0,3600.0
wt_15mM_salt,1,30,3,1,0,5400.0
wt_15mM_salt,1,30,3,1,0,7200.0
wt_15mM_salt,1,30,4,0,0,1800.0
wt_15mM_salt,1,30,4,0,0,3600.0
wt_15mM_salt,1,30,4,0,0,5400.0
wt_15mM_salt,1,30,4,0,0,7200.0
wt_15mM_salt,1,30,5,1,0,1800.0
wt_15mM_salt,1,30,5,1,0,3600.0
wt_15mM_salt,1,30,5,1,0,5400.0
wt_15mM_salt,1,30,5,1,0,7200.0
wt_15mM_salt,1,30,6,0,0,1800.0
wt_15mM_salt,1,30,6,1,0,3600.0
wt_15mM_salt,1,30,6,1,0,5400.0
wt_15mM_salt,1,30,6,1,0,7200.0
wt_15mM_salt,1,30,7,0,0,1800.0
wt_15mM_salt,1,30,7,0,0,3600.0
wt_15mM_salt,1,30,7,0,0,5400.0
wt_15mM_salt,1,30,7,1,0,7200.0
wt_15mM_salt,1,30,8,1,0,1800.0
wt_15mM_salt,1,30,8,1,0,3600.0
wt_15mM_salt,1,30,8,1,0,5400.0
wt_15mM_salt,1,30,8,1,0,7200.0
wt_15mM_salt,1,30,9,1,0,1800.0
wt_15mM_salt,1,30,9,1,0,3600.0
wt_15mM_salt,1,30,9,1,0,5400.0
wt_15mM_salt,1,30,9,1,0,7200.0
wt_15mM_salt,1,30,10,0,0,1800.0
wt_15mM_salt,1,30,10,0,0,3600.0
wt_15mM_salt,1,30,10,0,0,5400.0
wt_15mM_salt,1,30,10,0,0,7200.0
wt_15mM_salt,1,30,11,0,0,1800.0
wt_15mM_salt,1,30,11,0,0,3600.0
wt_15mM_salt,1,30,11,0,0,5400.0
wt_15mM_salt,1,30,11,0,0,7200.0
wt_15mM_salt,1,30,12,0,0,1800.0
wt_15mM_salt,1,30,12,0,0,3600.0
