time,fold,D1,size,id
1801,10,1000.0,20,16
1801,10,1000.0,57,16
1801,10,1000.0,101,16
1801,10,1000.0,37,16
1861,10,1000.0,85,16
1861,10,1000.0,17,16
1861,10,1000.0,31,16
1861,10,1000.0,68,16
1861,10,1000.0,25,16
1861,10,1000.0,12,16
1861,10,1000.0,13,16
1861,10,1000.0,9,16
1921,10,1000.0,23,16
1921,10,1000.0,63,16
1921,10,1000.0,31,16
1921,10,1000.0,8,16
1921,10,1000.0,31,16
1921,10,1000.0,64,16
1921,10,1000.0,32,16
1921,10,1000.0,26,16
1921,10,1000.0,12,16
2401,10,1000.0,18,16
2401,10,1000.0,16,16
2401,10,1000.0,5,16
2401,10,1000.0,7,16
2401,10,1000.0,21,16
2401,10,1000.0,17,16
2401,10,1000.0,2,16
2401,10,1000.0,6,16
2401,10,1000.0,15,16
2401,10,1000.0,3,16
2401,10,1000.0,10,16
1801,10,1000.0,21,17
1801,10,1000.0,47,17
1801,10,1000.0,110,17
1801,10,1000.0,3,17
1801,10,1000.0,57,17
1801,10,1000.0,25,17
1801,10,1000.0,27,17
1861,10,1000.0,64,17
1861,10,1000.0,2,17
1861,10,1000.0,5,17
1861,10,1000.0,26,17
1861,10,1000.0,1,17
1861,10,1000.0,10,17
1861,10,1000.0,16,17
1861,10,1000.0,13,17
1861,10,1000.0,113,17
1921,10,1000.0,15,17
1921,10,1000.0,38,17
1921,10,1000.0,3,17
1921,10,1000.0,12,17
1921,10,1000.0,63,17
1921,10,1000.0,22,17
1921,10,1000.0,25,17
1921,10,1000.0,48,17
1921,10,1000.0,4,17
2401,10,1000.0,32,17
2401,10,1000.0,8,17
2401,10,1000.0,18,17
2401,10,1000.0,25,17
2401,10,1000.0,8,17
2401,10,1000.0,1,17
2401,10,1000.0,116,17
2401,10,1000.0,3,17
2401,10,1000.0,15,17
2401,10,1000.0,4,17
1801,10,1000.0,148,18
1801,10,1000.0,9,18
1801,10,1000.0,14,18
1801,10,1000.0,104,18
1801,10,1000.0,115,18
1861,10,1000.0,3,18
1861,10,1000.0,91,18
1861,10,1000.0,103,18
1861,10,1000.0,121,18
1861,10,1000.0,5,18
1861,10,1000.0,37,18
1921,10,1000.0,6,18
1921,10,1000.0,2,18
1921,10,1000.0,128,18
1921,10,1000.0,142,18
1921,10,1000.0,72,18
2401,10,1000.0,17,18
2401,10,1000.0,6,18
2401,10,1000.0,26,18
2401,10,1000.0,4,18
2401,10,1000.0,25,18
2401,10,1000.0,36,18
2401,10,1000.0,16,18
2401,10,1000.0,12,18
2401,10,1000.0,10,18
2401,10,1000.0,11,18
2401,10,1000.0,17,18
1801,10,1000.0,58,19
1801,10,1000.0,15,19
1801,10,1000.0,83,19
1801,10,1000.0,23,19
1801,10,1000.0,34,19
1801,10,1000.0,7,19
1801,10,1000.0,16,19
1801,10,1000.0,10,19
1801,10,1000.0,24,19
1861,10,1000.0,10,19
1861,10,1000.0,56,19
1861,10,1000.0,2,19
1861,10,1000.0,2,19
1861,10,1000.0,39,19
1861,10,1000.0,107,19
1861,10,1000.0,17,19
1861,10,1000.0,29,19
1861,10,1000.0,8,19
1921,10,1000.0,11,19
1921,10,1000.0,12,19
1921,10,1000.0,23,19
1921,10,1000.0,11,19
1921,10,1000.0,13,19
1921,10,1000.0,18,19
1921,10,1000.0,26,19
1921,10,1000.0,25,19
1921,10,1000.0,37,19
1921,10,1000.0,54,19
2401,10,1000.0,21,19
2401,10,1000.0,5,19
